Time,O3,CO,NOx,SO2,NO,UV_A,UV_B,Radiation,WS,Temp,RH,ToL,Total_flux,BLH,SO4,NO3,NH4,OA,CL,BC,Methanol,Acetonitrile,Acetaldehyde,Ethanol,Acetone,Acetic_acid,Isoprene,Methacrolein,Methyl_ethyl_ketone,Benzene,Monoterpene_frag,Methylbutenol,Toluene,Monoterpene
2018-03-03 17:00:00,41.5,187.305,1.305,0.445,0.06,1.1577,0.00809,20.31865,2.7745,-8.31217,47.4245,82.16666667,,85.578674,0.41831,0.134538,0.0466456,0.542965,-0.0127875,,0.977,0.091,0.32444,0.12237,0.55387,0.2358,0.02957,0.00339,0.10128,0.15174,0.04759,0.02527,0.03398,0.01584
2018-03-03 18:00:00,41.055,188.995,1.225,0.4175,0.0,-0.14451,-1e-05,-0.4085,3.127166667,-9.00733,46.56883,89.0,,76.45239,0.338151,0.0984753,-0.00192512,1.14577,0.00344615,,0.977,0.091,0.32444,0.12237,0.55387,0.2358,0.02957,0.00339,0.10128,0.15174,0.04759,0.02527,0.03398,0.01584
2018-03-03 19:00:00,40.63,185.82,1.21,0.4325,0.025,-0.19579,-0.00041,-0.46411,3.525666667,-9.78433,44.46433,90.33333333,,77.694275,0.325966,0.119439,0.0823162,0.79447,-0.00203246,,0.977,0.091,0.32444,0.12237,0.55387,0.2358,0.02957,0.00339,0.10128,0.15174,0.04759,0.02527,0.03398,0.01584
2018-03-03 20:00:00,40.85,186.545,1.23,0.5575,0.0,-0.19047,-0.00028,-0.13724,3.824666667,-9.81933,43.9875,90.33333333,,79.427124,0.372905,0.163054,0.160113,0.917297,0.00380589,,1.21848,0.08797,0.40921,0.10094,0.58846,0.29816,0.01401,0.0145,0.10369,0.1613,0.03978,0.02012,0.062,0.02601
2018-03-03 21:00:00,40.245,182.44,1.015,0.4475,-0.005,-0.19178,-0.00035,0.35274,4.593,-10.23183,60.80305,90.33333333,,79.109375,0.318188,0.156426,0.325247,0.743836,0.00435096,,1.21848,0.08797,0.40921,0.10094,0.58846,0.29816,0.01401,0.0145,0.10369,0.1613,0.03978,0.02012,0.062,0.02601
2018-03-03 22:00:00,39.185,175.39,1.485,0.38,-0.015,-0.19913,-0.00054,-0.00032,5.197333333,-10.746,70.22417,90.16666667,,70.67621,0.408741,0.132723,-0.0179843,1.13765,0.0024359,,1.21848,0.08797,0.40921,0.10094,0.58846,0.29816,0.01401,0.0145,0.10369,0.1613,0.03978,0.02012,0.062,0.02601
2018-03-03 23:00:00,38.67,177.885,1.565,0.3275,-0.04,-0.20644,-0.0006,-0.24401,4.8805,-11.32217,74.39517,90.33333333,,62.214172,0.404864,0.225858,0.262878,0.608582,0.0241661,,1.03357,0.09982,0.38954,0.29778,0.59898,0.3331,-0.00641,0.02942,0.105,0.15738,0.02242,0.0256,0.04781,0.02586
2018-03-04 00:00:00,39.145,182.965,1.095,0.2325,0.0,-0.20793,-0.00068,0.4156,4.5475,-11.56,79.59167,90.16666667,,60.567932,0.361788,0.169632,0.00329737,1.21787,0.0179634,,1.03357,0.09982,0.38954,0.29778,0.59898,0.3331,-0.00641,0.02942,0.105,0.15738,0.02242,0.0256,0.04781,0.02586
2018-03-04 01:00:00,38.79,188.735,1.105,0.1925,-0.015,-0.22051,-0.00092,0.77126,4.806166667,-12.51433,83.685,91.33333333,,60.423523,0.339037,0.197089,0.25653,1.01535,0.00729344,,1.03357,0.09982,0.38954,0.29778,0.59898,0.3331,-0.00641,0.02942,0.105,0.15738,0.02242,0.0256,0.04781,0.02586
2018-03-04 02:00:00,38.81,183.83,1.025,0.205,0.01,-0.21743,-0.00089,0.29712,3.7795,-12.94717,85.38633,92.66666667,,60.457764,0.406976,0.27686,0.121567,1.44416,0.0175625,,1.12042,0.0928,0.44001,0.28631,0.59576,0.29963,0.00601,0.03072,0.10438,0.16982,0.03591,0.01641,0.04776,0.02646
2018-03-04 03:00:00,37.735,189.52,1.085,0.2025,0.025,-0.22788,-0.00119,-0.1738,3.672833333,-14.03333,75.706,89.5,,61.442505,0.538271,0.314164,0.361998,1.38035,0.0129385,,1.12042,0.0928,0.44001,0.28631,0.59576,0.29963,0.00601,0.03072,0.10438,0.16982,0.03591,0.01641,0.04776,0.02646
2018-03-14 01:00:00,36.65,226.12,0.55,0.1725,-0.01,-0.15269,-8e-05,0.3917,6.844333333,-2.77933,99.842,85.0,3.63569,658.52405,2.13817,0.161812,0.625634,1.71797,0.0109203,,0.60611,0.05804,0.3859,0.42915,0.85104,0.19727,0.02435,0.01042,0.13412,0.19042,0.03462,0.02562,0.05695,0.045
2018-03-14 02:00:00,36.895,227.33,0.595,0.2325,-0.015,-0.15744,-0.00022,-0.30205,6.811333333,-3.36067,99.4015,82.83333333,9.96809,669.6742,2.9275,0.169566,0.826769,1.81597,0.0227152,,0.845525,0.075095,0.39616,0.40842,0.765565,0.24211,0.029585,0.029185,0.121665,0.197565,0.026005,0.043825,0.05604,0.030525
2018-03-14 03:00:00,36.92,214.735,0.61,0.13,-0.04,-0.15495,-0.00012,-0.72089,7.107666667,-3.95833,98.85617,81.83333333,14.09899,658.5131,2.73676,0.157356,0.802791,1.93426,0.00964858,,0.845525,0.075095,0.39616,0.40842,0.765565,0.24211,0.029585,0.029185,0.121665,0.197565,0.026005,0.043825,0.05604,0.030525
2018-03-15 00:00:00,40.93,167.835,0.54,0.445,-0.015,-0.2176,-0.00083,1.12379,6.425666667,-10.96367,93.27617,26.0,-12.88338,464.70624,0.59067,0.0375358,0.294399,0.531706,-0.00721095,,0.41397,0.053785,0.239895,0.19193,0.323695,0.10721,0.003485,0.008385,0.063785,0.081245,0.01361,0.02425,-0.00481,-0.01535
